North Macedonia,66.1,65.3,64.9,63.2
Romania,66.8,66.3,65.4,63.3
Russian Federation,64.2,62.7,60.5,57.3
Rwanda,60.2,58.9,55.9,41.2
Saint Lucia,64.7,65.2,65.5,64
Saint Vincent and the Grenadines,64,63.5,64,62.2
Samoa,62.1,61.9,61.5,60.7
Sao Tome and Principe,61.6,60.9,59.8,55.6
Saudi Arabia,64,63.2,62.2,61.2
Senegal,59.4,58.2,56.7,50.8
Serbia,66.9,66.4,65.7,63.4
Seychelles,64,64,64,63.1
Sierra Leone,52.9,49.7,47.8,42.2
Singapore,73.6,73.2,72.3,69.5
Slovakia,68.5,67.6,66.5,64.7
Slovenia,70.7,70,69.2,66.5
Solomon Islands,57.8,57.4,56.6,55.7
Somalia,49.7,48.1,45.9,44
South Africa,56.2,54.1,49.6,48.5
South Sudan,53.7,53,52.4,46.4
Spain,72.1,71.6,71,69.1
Sri Lanka,67,66.6,64.2,63
Sudan,59.9,58.9,57.7,54.3
Suriname,62.4,63.2,62.6,61.3
Sweden,71.9,71.4,71.2,69.9
Switzerland,72.5,71.7,71.4,69.3
Syrian Arab Republic,62.9,56.3,65.1,62.8
Tajikistan,62,61.4,60.9,58.3
Thailand,68.3,68,67.1,62.6
Timor-Leste,60.9,60.3,59.3,53.1
Togo,56.2,54.2,52,48.9
Tonga,64,63.9,63.9,62.9
Trinidad and Tobago,66.2,65.2,63.3,61.4
Tunisia,66.9,66.7,66.3,64.8
Turkey,68.4,67.7,66.9,65
Turkmenistan,62.1,61.7,60.1,56.6
Uganda,58.2,56.3,52.1,42.5
Ukraine,64.3,63.8,62.2,59.7
United Arab Emirates,66,65.4,65.1,63.9
United Kingdom of Great Britain and Northern Ireland,70.1,69.7,69.4,67.6
United Republic of Tanzania,58.5,56.7,53.4,45.4
United States of America,66.1,66.6,66.7,65.8
Uruguay,67.5,67.5,67.1,65.9
Uzbekistan,64.7,63.5,62.3,58.1
Vanuatu,57.8,57.4,57.3,56.8
Venezuela (Bolivarian Republic of),64.4,65.1,65.3,64.7
Viet Nam,65.3,64.9,64.5,63.3
Yemen,57.5,58.4,58.6,54.5
Zambia,54.4,52.7,49.4,39
Zimbabwe,53.1,51.2,45.2,41
